#TYPE Selected.System.String
"Datastore","EUI"
"Datastore721","eui.0017380012d60026"
"Datastore722","eui.001738000a3400a3"
"Datastore723","eui.0017380012d60039"
"Datastore724","eui.0017380012d60040"
"Datastore725","eui.0017380012d60041"
"Datastore726","eui.0017380012d60042"
"Datastore727","eui.0017380012d60043"
"Datastore728","eui.0017380012d60044"
"Datastore729","eui.0017380010bd0034"
"Datastore73","eui.001738000f210023"
"Datastore730","eui.0017380010bd0035"
"Datastore731","eui.001738000f21008c"
"Datastore732","eui.0017380012d60050"
"Datastore74","eui.001738000f210024"
"Datastore75","eui.001738000f210031"
"Datastore78","eui.001738000f210032"
"Datastore79","eui.001738000f210033"
"Datastore80","eui.001738000f210034"
"Datastore801","eui.0017380015e30021"
"Datastore802","eui.0017380015e30022"
"Datastore803","eui.0017380015e30023"
"Datastore804","eui.0017380015e3004e"
"Datastore805","eui.0017380015e3004f"
"Datastore806","eui.0017380015e30053"
"Datastore807","eui.0017380015e30054"
"Datastore808","eui.0017380015e30055"
"Datastore809","eui.0017380015e30057"
"Datastore81","eui.001738000f210035"
"Datastore810","eui.0017380010bd005a"
"Datastore82","eui.001738000f210036"
"Datastore83","eui.001738000f210037"
"Datastore84","eui.001738000f210038"
"Datastore85","eui.001738000f210039"
"Datastore86","eui.001738000f21003a"
"Datastore906","eui.001738004e6f003e"
"Datastore907","eui.001738004e6f003d"
"Datastore908","eui.001738004e6f003f"
"Datastore909","eui.001738004e6f0040"
"Datastore91","eui.001738000f21004e"
"Datastore910","eui.001738004e6f004c"
"Datastore911","eui.001738004e6f004d"
"Datastore912","eui.001738004e6f0058"
"Datastore913","eui.001738004e6f0059"
"Datastore914","eui.001738004e6f0082"
"Datastore915","eui.001738004e6f0083"
"Datastore916","eui.001738004e6f0084"
"Datastore917","eui.00173800509d0045"
"Datastore918","eui.00173800509d0052"
"Datastore919","eui.00173800509d0050"
"Datastore92","eui.001738000f21004d"
"Datastore920","eui.00173800509d0053"
"Datastore921","eui.00173800509d0054"
"Datastore922","eui.00173800509d0056"
"Datastore923","eui.00173800509d0057"
"Datastore924","eui.00173800509d0058"
"Datastore925","eui.00173800509d005a"
"Datastore926","eui.00173800509d0059"
"Datastore928","eui.00173800509d0068"
"Datastore929","eui.00173800509d0069"
"Datastore930","eui.00173800509d006a"
"Datastore94","eui.001738000a340086"
"Datastore96","eui.0017380012d6003d"
"Datastore97","eui.0017380012d6003e"
"Datastore98","eui.0017380015e3002d"
"Datastore99","eui.0017380015e30040"
"Nexus-Datastore01","eui.00173800015e0055"
"Nexus-Datastore02","eui.00173800015e010e"
"XDatastore69","eui.001738000f21001f"
"XXDatastore116","eui.0017380010bd0022"
"XXDatastore66","eui.001738000f21001c"
"XXDatastore67","eui.001738000f21001d"
"XXDatastore68","eui.001738000f21001e"
